json index,label index,Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign,end frame of video clip containing the sign,start frame of the sign,end frame of the sign,Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,video file,sign type
159,9,159,CHILD,(1h)CHILDREN,(1h)CHILDREN++,7071,7200,7121,7150,B-L,,B-L,,ASL_2011_06_08_Brady_scene27-camera1.mov,Lexical Signs
163,10,163,COME,(1h)COME,(1h)COME,4381,4510,4431,4460,1,,bent-1,,ASL_2008_05_12a_scene50-camera1.mov,Lexical Signs
164,10,164,COME,(1h)COME,(1h)COME,3495,3615,3545,3565,1,,bent-1,,ASL_2008_08_04_scene52-camera1.mov,Lexical Signs
165,10,165,COME,(1h)COME,(1h)COME,1077,1201,1127,1151,1,,bent-1,,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs
166,11,166,COW,(1h)COW,(1h)COW,2250,2371,2300,2321,Y,,Y,,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs
167,11,167,COW,(1h)COW,(1h)COW,990,1116,1040,1066,Y,,Y,,ASL_2006_10_10_scene6-camera1.mov,Lexical Signs
168,11,168,COW,(1h)COW,(1h)COW,1186,1327,1236,1277,Y,,Y,,ASL_2007_05_24_scene10-camera1.mov,Lexical Signs
175,12,175,DRIP,(1h)DRIP,(1h)DRIP,430,561,480,511,S,,1,,ASL_2008_01_18_scene25-camera1.mov,Lexical Signs
176,12,177,DRIP,(1h)DRIP,(1h)DRIP,225,355,275,305,S,,1,,ASL_2008_08_06_scene25-camera1.mov,Lexical Signs
177,12,178,DRIP,(1h)DRIP,(1h)DRIP,5245,5373,5295,5323,S,,1,,ASL_2011_06_14_Brady_scene7-camera1.mov,Lexical Signs
178,12,179,DRIP,(1h)DRIP,(1h)DRIP+,2420,2567,2470,2517,S,,1,,ASL_2008_05_29a_scene4-camera1.mov,Lexical Signs
179,12,207759,DRIP,(1h)DRIP,(1h)DRIP,1223,1340,1273,1290,S,,bent-1,,ASL_2011_07_22_Brady_scene42-camera1.mov,Lexical Signs
180,13,180,DROP,(1h)DROP,(1h)DROP,3725,3855,3775,3805,S,,5,,ASL_2008_05_29a_scene4-camera1.mov,Lexical Signs
184,14,184,FALL,(1h)FALL,(1h)FALL,316,450,366,400,V,,V,,ASL_2008_05_29a_scene18-camera1.mov,Lexical Signs
186,15,186,FINISH,(1h)FINISH,(1h)FINISH,463,598,513,548,5,,5,,ASL_2008_02_29_scene48-camera1.mov,Lexical Signs
187,15,187,FINISH,(1h)FINISH,(1h)FINISH,1515,1630,1565,1580,5,,5,,ASL_2011_07_19_Brady_scene99-camera1.mov,Lexical Signs
191,16,191,FORCE,(1h)FORCE,(1h)FORCE,871,996,921,946,C,,C,,ASL_2008_01_18_scene47-camera1.mov,Lexical Signs
192,16,192,FORCE,(1h)FORCE,(1h)FORCE,5677,5805,5727,5755,C,,C,,ASL_2011_06_14_Brady_scene21-camera1.mov,Lexical Signs
194,17,194,FRECKLES,(1h)FRECKLES,(1h)FRECKLES,1170,1315,1220,1265,crvd-5,,crvd-5,,ASL_2008_01_18_scene49-camera1.mov,Lexical Signs
195,18,195,GIFT,(1h)GIFT,(1h)GIFT,720,850,770,800,X-over-thumb,,X-over-thumb,,ASL_2008_02_01_scene5-camera1.mov,Lexical Signs
196,18,196,GIFT,(1h)GIFT,(1h)GIFT,561,690,611,640,X,,X,,ASL_2008_05_29a_scene37-camera1.mov,Lexical Signs
197,18,197,GIFT,(1h)GIFT,(1h)GIFT,742,870,792,820,X,,X,,ASL_2008_08_13_scene5-camera1.mov,Lexical Signs
198,18,198,GIFT,(1h)GIFT,(1h)GIFT,780,897,830,847,X-over-thumb,,X-over-thumb,,ASL_2011_06_14_Brady_scene26-camera1.mov,Lexical Signs
199,8,199,GO,(1h)GO,(1h)GO,1395,1545,1445,1495,1,,1,,ASL_2008_02_01_scene7-camera1.mov,Lexical Signs
200,8,200,GO,(1h)GO,(1h)GO,8723,8850,8773,8800,1,,1,,ASL_2011_06_14_Brady_scene26-camera1.mov,Lexical Signs
206,19,206,HAMMER,(1h)HAMMER,(1h)HAMMER+,2682,2816,2732,2766,X-over-thumb,,X-over-thumb,,ASL_2006_10_10_scene12-camera1.mov,Lexical Signs
207,19,207,HAMMER,(1h)HAMMER,(1h)HAMMER+,2599,2747,2649,2697,X-over-thumb,,X-over-thumb,,ASL_2007_05_24_scene16-camera1.mov,Lexical Signs
208,19,208,HAMMER,(1h)HAMMER,(1h)HAMMER++,4280,4432,4330,4382,X-over-thumb,,X-over-thumb,,ASL_2008_05_12a_scene40-camera1.mov,Lexical Signs
209,19,209,HAMMER,(1h)HAMMER,(1h)HAMMER++,2315,2460,2365,2410,X-over-thumb,,X-over-thumb,,ASL_2008_05_29a_scene45-camera1.mov,Lexical Signs
210,19,210,HAMMER,(1h)HAMMER,(1h)HAMMER+++,510,664,560,614,X-over-thumb,,X-over-thumb,,ASL_2011_07_22_Brady_scene46-camera1.mov,Lexical Signs
211,20,211,HAPPY,(1h)HAPPY,(1h)HAPPY+,2195,2347,2245,2297,B-L,,B-L,,ASL_2008_02_01_scene18-camera1.mov,Lexical Signs
212,20,212,HAPPY,(1h)HAPPY,(1h)HAPPY+,3570,3727,3620,3677,B-L,,B-L,,ASL_2008_03_28_scene27-camera1.mov,Lexical Signs
213,20,213,HAPPY,(1h)HAPPY,(1h)HAPPY+,830,980,880,930,B-L,,B-L,,ASL_2008_05_29a_scene46-camera1.mov,Lexical Signs
214,20,214,HAPPY,(1h)HAPPY,(1h)HAPPY+,6700,6829,6750,6779,B-L,,B-L,,ASL_2011_06_14_Brady_scene31-camera1.mov,Lexical Signs
215,20,215,HAPPY,(1h)HAPPY,(1h)HAPPY+,336,472,386,422,B-L,,B-L,,ASL_2006_10_10_scene14-camera1.mov,Lexical Signs
216,20,216,HAPPY,(1h)HAPPY,(1h)HAPPY+,724,884,774,834,B-L,,B-L,,ASL_2007_05_24_scene17-camera1.mov,Lexical Signs
217,20,218,HAPPY,(1h)HAPPY,(1h)HAPPY+++,1142,1285,1192,1235,B-L,,B-L,,ASL_2008_08_13_scene14-camera1.mov,Lexical Signs
222,21,227,"LCL\path-turn-around\""""","(1h)LCL\path-turn-around\""""","(1h)LCL\path-turn-around\""""",2498,2634,2548,2584,1,,1,,ASL_2008_03_28_scene24-camera1.mov,Classifiers
223,22,228,LINE,(1h)LINE,(1h)LINE,1700,1847,1750,1797,I,,I,,ASL_2008_03_28_scene27-camera1.mov,Lexical Signs
224,23,229,MISUNDERSTAND,(1h)MISUNDERSTAND,(1h)MISUNDERSTAND,2195,2350,2245,2300,V,,V,,ASL_2008_02_15_scene7-camera1.mov,Lexical Signs
225,23,230,MISUNDERSTAND,(1h)MISUNDERSTAND,(1h)MISUNDERSTAND,1230,1356,1280,1306,V,,V,,ASL_2008_06_10_scene17-camera1.mov,Lexical Signs
226,23,231,MISUNDERSTAND,(1h)MISUNDERSTAND,(1h)MISUNDERSTAND,1278,1398,1328,1348,V,,V,,ASL_2011_07_19_Brady_scene4-camera1.mov,Lexical Signs
231,24,236,PONDER,(1h)PONDER,(1h)PONDER+,735,886,785,836,flat-O,,flat-O,,ASL_2008_02_15_scene12-camera1.mov,Lexical Signs
232,24,237,PONDER,(1h)PONDER,(1h)PONDER+,263,403,313,353,flat-O,,flat-O,,ASL_2008_06_10_scene21-camera1.mov,Lexical Signs
233,24,238,PONDER,(1h)PONDER,(1h)PONDER+,612,784,662,734,O,,O,,ASL_2011_07_19_Brady_scene115-camera1.mov,Lexical Signs
234,24,239,PONDER,(1h)PONDER,(1h)PONDER+,2209,2370,2259,2320,O,,O,,ASL_2011_07_22_Brady_scene47-camera1.mov,Lexical Signs
235,25,242,PROCEED,(1h)PROCEED,(1h)PROCEED,1290,1417,1340,1367,bent-B-L,,bent-B-L,,ASL_2008_05_29a_scene38-camera1.mov,Lexical Signs
243,26,250,SUGGEST,(1h)SUGGEST,(1h)SUGGEST,2520,2660,2570,2610,crvd-flat-B,,crvd-flat-B,,ASL_2008_02_29_scene52-camera1.mov,Lexical Signs
244,26,251,SUGGEST,(1h)SUGGEST,(1h)SUGGEST,937,1067,987,1017,B-L,,B-L,,ASL_2011_07_19_Brady_scene104-camera1.mov,Lexical Signs
262,27,269,GOLD/ns-CALIFORNIA,(25)ns-CALIFORNIA,(25)ns-CALIFORNIA++,1420,1555,1470,1505,25,,25,,ASL_2008_05_12a_scene38-camera1.mov,Lexical Signs
265,2,272,#BACK,(2h)#BACK_2,(2h)#BACK_2,675,820,725,770,B-xd,B-xd,K,K,ASL_2008_01_11_scene28-camera1.mov,Loan Signs
266,2,273,#BACK,(2h)#BACK_2,(2h)#BACK_2,2244,2369,2294,2319,B-L,B-L,3,3,ASL_2011_06_08_Brady_scene15-camera1.mov,Loan Signs
273,10,280,COME,(2h)alt.COME,(2h)alt.COME,420,550,470,500,1,1,1,1,ASL_2008_08_06_scene1-camera1.mov,Lexical Signs
274,10,281,COME,(2h)alt.COME,(2h)alt.COME,1441,1578,1491,1528,1,1,1,1,ASL_2011_06_08_Brady_scene29-camera1.mov,Lexical Signs
276,28,284,CRY,(2h)alt.CRY,(2h)alt.CRY+,2396,2555,2446,2505,1,1,X,X,ASL_2008_01_18_scene9-camera1.mov,Lexical Signs
277,28,207721,CRY,(2h)alt.CRY,(2h)alt.CRY,3696,3847,3746,3797,1,1,X,X,ASL_2008_08_06_scene9-camera1.mov,Lexical Signs
278,12,285,DRIP,(2h)alt.DRIP,(2h)alt.DRIP+,2476,2617,2526,2567,cocked-S,S,1,1,ASL_2008_02_29_scene5-camera1.mov,Lexical Signs
279,12,286,DRIP,(2h)alt.DRIP,(2h)alt.DRIP+,1550,1701,1600,1651,S,S,1,bent-1,ASL_2011_07_19_Brady_scene50-camera1.mov,Lexical Signs
280,29,287,EAT,(2h)alt.EAT,(2h)alt.EAT+,190,350,240,300,flat-O,flat-O,flat-O,flat-O,ASL_2008_01_18_scene40-camera1.mov,Lexical Signs
281,29,288,EAT,(2h)alt.EAT,(2h)alt.EAT+,1447,1606,1497,1556,flat-O,flat-O,flat-O,flat-O,ASL_2010_08_10_Liz_additional_lexicon_signs_scene7-camera1.mov,Lexical Signs
282,29,289,EAT,(2h)alt.EAT,(2h)alt.EAT+,4610,4762,4660,4712,flat-O,flat-O,flat-O,flat-O,ASL_2008_05_29a_scene19-camera1.mov,Lexical Signs
283,29,290,EAT,(2h)alt.EAT,(2h)alt.EAT+,2450,2600,2500,2550,flat-O,flat-O,flat-O,flat-O,ASL_2008_08_06_scene39-camera1.mov,Lexical Signs
284,29,291,EAT,(2h)alt.EAT,(2h)alt.EAT+,526,659,576,609,flat-O,flat-O,flat-O,flat-O,ASL_2011_06_14_Brady_scene17-camera1.mov,Lexical Signs
285,29,292,EAT,(2h)alt.EAT,(2h)alt.EAT++,4931,5071,4981,5021,flat-O,flat-O,flat-O,flat-O,ASL_2011_06_08_Brady_scene16-camera1.mov,Lexical Signs
286,29,293,EAT,(2h)alt.EAT,(2h)alt.EAT+++,937,1082,987,1032,flat-O,flat-O,flat-O,flat-O,ASL_2010_08_10_Liz_additional_lexicon_signs_scene24-camera1.mov,Lexical Signs
288,30,295,FIRE/BURN,(2h)alt.FIRE,(2h)alt.FIRE+,3181,3325,3231,3275,5,5,5,5,ASL_2008_05_12a_scene36-camera1.mov,Lexical Signs
289,30,296,FIRE/BURN,(2h)alt.FIRE,(2h)alt.FIRE+,2266,2420,2316,2370,5,5,5,5,ASL_2008_05_29a_scene22-camera1.mov,Lexical Signs
290,30,297,FIRE/BURN,(2h)alt.FIRE,(2h)alt.FIRE+,945,1112,995,1062,5,5,5,5,ASL_2008_08_06_scene42-camera1.mov,Lexical Signs
291,30,298,FIRE/BURN,(2h)alt.FIRE,(2h)alt.FIRE+,6473,6618,6523,6568,5,5,5,5,ASL_2011_06_14_Brady_scene18-camera1.mov,Lexical Signs
292,30,299,FIRE/BURN,(2h)alt.FIRE,(2h)alt.FIRE++,1495,1672,1545,1622,5,5,5,5,ASL_2008_01_18_scene42-camera1.mov,Lexical Signs
293,31,300,HAIRCUT,(2h)alt.HAIRCUT,(2h)alt.HAIRCUT++,3700,3857,3750,3807,V,V,U,U,ASL_2008_05_12a_scene20-camera1.mov,Lexical Signs
294,31,301,HAIRCUT,(2h)alt.HAIRCUT,(2h)alt.HAIRCUT++,6743,6876,6793,6826,V,V,V,V,ASL_2011_06_08_Brady_scene16-camera1.mov,Lexical Signs
295,31,302,HAIRCUT,(2h)alt.HAIRCUT,(2h)alt.HAIRCUT++,5954,6086,6004,6036,V,V,U,U,ASL_2011_06_14_Brady_scene53-camera1.mov,Lexical Signs
296,32,303,LONG-AGO,(2h)alt.LONG-AGO,(2h)alt.LONG-AGO+,2665,2850,2715,2800,B-L,B-L,B-L,B-L,ASL_2008_02_01_scene22-camera1.mov,Lexical Signs
297,32,304,LONG-AGO,(2h)alt.LONG-AGO,(2h)alt.LONG-AGO+,1230,1382,1280,1332,5,5,5,5,ASL_2008_05_12a_scene11-camera1.mov,Lexical Signs
298,32,305,LONG-AGO,(2h)alt.LONG-AGO,(2h)alt.LONG-AGO+,4567,4720,4617,4670,5,5,5,5,ASL_2008_08_13_scene18-camera1.mov,Lexical Signs
299,32,306,LONG-AGO,(2h)alt.LONG-AGO,(2h)alt.LONG-AGO+,3708,3861,3758,3811,5,5,5,5,ASL_2011_06_14_Brady_scene34-camera1.mov,Lexical Signs
300,33,307,PULL,(2h)alt.PULL,(2h)alt.PULL,6726,6884,6776,6834,L-X,L-X,A,A,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs
303,34,310,BED,(2h)BED,(2h)BED,3555,3695,3605,3645,B-L,B-L,B-L,B-L,ASL_2008_02_29_scene34-camera1.mov,Lexical Signs
304,34,311,BED,(2h)BED,(2h)BED,2275,2392,2325,2342,B-L,B-L,B-L,B-L,ASL_2008_05_12a_scene23-camera1.mov,Lexical Signs
305,35,312,CANE,(2h)CANE,(2h)CANE++,2175,2355,2225,2305,S,S,S,S,ASL_2008_01_18_scene9-camera1.mov,Lexical Signs
306,35,313,CANE,(2h)CANE,(2h)CANE++,2755,2920,2805,2870,S,S,S,S,ASL_2008_05_12b_scene9-camera1.mov,Lexical Signs
307,35,314,CANE,(2h)CANE,(2h)CANE++,3421,3582,3471,3532,A,A,A,A,ASL_2008_08_06_scene9-camera1.mov,Lexical Signs
308,35,315,CANE,(2h)CANE,(2h)CANE++,10126,10279,10176,10229,S,S,S,S,ASL_2011_06_08_Brady_scene31-camera1.mov,Lexical Signs
310,36,317,CAT,(2h)CAT,(2h)CAT+,3708,3861,3758,3811,open-F,open-F,F,F,ASL_2008_03_28_scene40-camera1.mov,Lexical Signs
311,36,318,CAT,(2h)CAT,(2h)CAT+,21375,21504,21425,21454,open-8,open-8,8,8,ASL_2011_06_08_Brady_scene25-camera1.mov,Lexical Signs
312,36,319,CAT,(2h)CAT,(2h)CAT+,21634,21763,21684,21713,open-8,open-8,8,8,ASL_2011_06_08_Brady_scene25-camera1.mov,Lexical Signs
313,36,320,CAT,(2h)CAT_2,(2h)CAT_2++,1040,1185,1090,1135,L,L,flat-G,flat-G,ASL_2008_05_12a_scene41-camera1.mov,Lexical Signs
316,37,324,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS+,1477,1621,1527,1571,3,3,crvd-3,crvd-3,ASL_2008_02_15_scene6-camera1.mov,Lexical Signs
317,37,325,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS+,1000,1123,1050,1073,3,3,crvd-3,crvd-3,ASL_2008_06_10_scene16-camera1.mov,Lexical Signs
318,37,326,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS++,4665,4801,4715,4751,3,3,crvd-3,crvd-3,ASL_2008_05_12b_scene15-camera1.mov,Lexical Signs
319,37,327,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS++,1939,2093,1989,2043,3,3,crvd-3,crvd-3,ASL_2011_07_22_Brady_scene47-camera1.mov,Lexical Signs
320,37,328,DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS,(2h)DEVIL/MISCHIEVOUS++,71,235,121,185,3,3,crvd-3,crvd-3,ASL_2011_07_22_Brady_scene48-camera1.mov,Lexical Signs
324,38,332,FEEL,(2h)FEEL,(2h)FEEL+,3672,3805,3722,3755,25,25,25,25,ASL_2008_05_29a_scene13-camera1.mov,Lexical Signs
326,39,334,GIVE,(2h)GIVE,(2h)GIVE,535,656,585,606,flat-O,flat-O,flat-O,flat-O,ASL_2008_01_18_scene40-camera1.mov,Lexical Signs
327,39,335,GIVE,(2h)GIVE,(2h)GIVE,925,1055,975,1005,flat-O,flat-O,flat-O,flat-O,ASL_2008_02_01_scene5-camera1.mov,Lexical Signs
328,39,336,GIVE,(2h)GIVE,(2h)GIVE,1088,1218,1138,1168,flat-O,flat-O,flat-O,flat-O,ASL_2008_08_13_scene5-camera1.mov,Lexical Signs
329,39,337,GIVE,(2h)GIVE,(2h)GIVE,992,1108,1042,1058,flat-O,flat-O,flat-O,flat-O,ASL_2011_06_14_Brady_scene26-camera1.mov,Lexical Signs
334,40,342,KINDERGARTEN,(2h)KINDERGARTEN,(2h)KINDERGARTEN,5166,5325,5216,5275,K,flat-B,K,flat-B,ASL_2010_08_10_Liz_additional_lexicon_signs_scene11-camera1.mov,Lexical Signs
335,40,343,KINDERGARTEN,(2h)KINDERGARTEN,(2h)KINDERGARTEN,1345,1490,1395,1440,K,B-L,K,B-L,ASL_2008_05_29b_scene14-camera1.mov,Lexical Signs
336,40,344,KINDERGARTEN,(2h)KINDERGARTEN,(2h)KINDERGARTEN,515,643,565,593,K,B-L,K,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs
337,41,345,LOOK,(2h)LOOK-DOWN,(2h)LOOK-DOWN,2880,3015,2930,2965,V,V,V,V,ASL_2008_02_01_scene52-camera1.mov,Lexical Signs
338,41,346,LOOK,(2h)LOOK-DOWN,(2h)LOOK-DOWN,2482,2617,2532,2567,V,V,V,V,ASL_2008_06_10_scene4-camera1.mov,Lexical Signs
339,41,347,LOOK,(2h)LOOK-DOWN,(2h)LOOK-DOWN,2710,2840,2760,2790,V,V,V,V,ASL_2008_08_13_session2_scene7-camera1.mov,Lexical Signs
340,41,348,LOOK,(2h)LOOK-DOWN,(2h)LOOK-DOWN,2333,2456,2383,2406,V,V,V,V,ASL_2011_06_14_Brady_scene51-camera1.mov,Lexical Signs
341,41,350,LOOK,(2h)LOOK-FORWARD,(2h)LOOK-FORWARD+,525,676,575,626,V,V,V,V,ASL_2008_02_01_scene53-camera1.mov,Lexical Signs
342,41,351,LOOK,(2h)LOOK-FORWARD,(2h)LOOK-FORWARD+,2407,2547,2457,2497,V,V,V,V,ASL_2008_08_13_scene1-camera1.mov,Lexical Signs
343,41,352,LOOK,(2h)LOOK-FORWARD,(2h)LOOK-FORWARD+,270,406,320,356,V,V,V,V,ASL_2008_08_13_session2_scene8-camera1.mov,Lexical Signs
344,41,353,LOOK,(2h)LOOK-FORWARD,(2h)LOOK-FORWARD++,487,625,537,575,V,V,V,V,ASL_2008_06_10_scene5-camera1.mov,Lexical Signs
345,41,207947,LOOK,(2h)LOOK-FORWARD,(2h)LOOK-FORWARD+++,2790,2937,2840,2887,V,V,V,V,ASL_2011_06_14_Brady_scene51-camera1.mov,Lexical Signs
346,41,354,LOOK,(2h)LOOK-UP,(2h)LOOK-UP,1520,1660,1570,1610,V,V,V,V,ASL_2008_02_01_scene53-camera1.mov,Lexical Signs
347,41,355,LOOK,(2h)LOOK-UP,(2h)LOOK-UP,1842,1963,1892,1913,V,V,V,V,ASL_2008_06_10_scene5-camera1.mov,Lexical Signs
348,41,356,LOOK,(2h)LOOK-UP,(2h)LOOK-UP,2135,2262,2185,2212,V,V,V,V,ASL_2008_06_10_scene5-camera1.mov,Lexical Signs
349,41,357,LOOK,(2h)LOOK-UP,(2h)LOOK-UP,1295,1425,1345,1375,V,V,V,V,ASL_2008_08_13_session2_scene8-camera1.mov,Lexical Signs
350,41,358,LOOK,(2h)LOOK-UP,(2h)LOOK-UP,3566,3680,3616,3630,V,V,V,V,ASL_2011_06_14_Brady_scene51-camera1.mov,Lexical Signs
351,41,359,LOOK,(2h)LOOK-UP,(2h)LOOK-UP,2280,2402,2330,2352,V,V,V,V,ASL_2011_07_22_Brady_scene46-camera1.mov,Lexical Signs
352,37,360,DEVIL/MISCHIEVOUS,(2h)MISCHIEVOUS,(2h)MISCHIEVOUS+,1000,1147,1050,1097,3,3,crvd-3,crvd-3,ASL_2008_02_15_scene6-camera1.mov,Lexical Signs
353,37,361,DEVIL/MISCHIEVOUS,(2h)MISCHIEVOUS,(2h)MISCHIEVOUS++,1751,1893,1801,1843,3,3,crvd-V,crvd-V,ASL_2011_07_19_Brady_scene3-camera1.mov,Lexical Signs
356,42,364,SAME,(2h)SAME,(2h)SAME+,444,616,494,566,Y,Y,Y,Y,ASL_2008_02_29_scene32-camera1.mov,Lexical Signs
357,42,365,SAME,(2h)SAME,(2h)SAME+,856,997,906,947,Y,Y,Y,Y,ASL_2011_07_19_Brady_scene83-camera1.mov,Lexical Signs
358,42,366,SAME,(2h)SAME_2,(2h)SAME_2,4126,4290,4176,4240,Y,Y,Y,Y,ASL_2008_02_29_scene43-camera1.mov,Lexical Signs
359,42,367,SAME,(2h)SAME_2,(2h)SAME_2,705,854,755,804,Y,Y,Y,Y,ASL_2011_07_19_Brady_scene96-camera1.mov,Lexical Signs
360,42,368,SAME,(2h)SAME_2,(2h)SAME_2,656,816,706,766,Y,Y,Y,Y,ASL_2011_07_22_Brady_scene54-camera1.mov,Lexical Signs
362,43,370,SHAME,(2h)SHAME,(2h)SHAME,1295,1430,1345,1380,bent-B-L,bent-B-L,crvd-B,crvd-B,ASL_2008_01_11_scene22-camera1.mov,Lexical Signs
363,44,371,VOLUNTEER/SHIRT,(2h)SHIRT,(2h)SHIRT,1884,2035,1934,1985,F,F,F,F,ASL_2008_02_29_scene29-camera1.mov,Lexical Signs
364,44,372,VOLUNTEER/SHIRT,(2h)SHIRT,(2h)SHIRT,3832,3965,3882,3915,F,F,F,F,ASL_2011_07_19_Brady_scene80-camera1.mov,Lexical Signs
369,45,377,ACCIDENT,(3)ACCIDENT,(3)ACCIDENT,1655,1775,1705,1725,3,3,S,A,ASL_2008_05_12a_scene4-camera1.mov,Lexical Signs
372,46,380,INJECT,(3)INJECT,(3)INJECT,2411,2537,2461,2487,3,,bent-1,,ASL_2008_05_29a_scene36-camera1.mov,Lexical Signs
373,46,381,INJECT,(3)INJECT,(3)INJECT,185,320,235,270,3,,X-over-thumb,,ASL_2008_08_13_scene27-camera1.mov,Lexical Signs
